#Date/Time of Update: 2017-05-02 3:46:42 PM,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location
,23-03-17,7:30PM,104,PHX,Phoenix,Suns,84,BRO,Brooklyn,Nets,Barclays Center
,23-03-17,7:30PM,81,TOR,Toronto,Raptors,92,MIA,Miami,Heat,American Airlines Arena
,23-03-17,8:30PM,102,LAC,Los Angeles,Clippers,108,DAL,Dallas,Mavericks,American Airlines Center
,23-03-17,8:30PM,107,MEM,Memphis,Grizzlies,106,SAS,San Antonio,Spurs,AT&T Center
,23-03-17,10:00PM,83,NYK,New York,Knicks,97,POR,Portland,Trail Blazers,Moda Center
,24-03-17,7:00PM,84,BRO,Brooklyn,Nets,94,WAS,Washington,Wizards,Verizon Center
,24-03-17,7:00PM,86,CLE,Cleveland,Cavaliers,93,CHA,Charlotte,Hornets,Time Warner Cable Arena
,24-03-17,7:00PM,88,DET,Detroit,Pistons,95,ORL,Orlando,Magic,Amway Center
,24-03-17,7:00PM,99,DEN,Denver,Nuggets,87,IND,Indiana,Pacers,Bankers Life Fieldhouse
,24-03-17,7:30PM,104,PHX,Phoenix,Suns,82,BOS,Boston,Celtics,TD Garden
,24-03-17,8:00PM,85,PHI,Philadelphia,76ers,89,CHI,Chicago,Bulls,United Center
,24-03-17,8:00PM,91,ATL,Atlanta,Hawks,90,MIL,Milwaukee,Bucks,BMO Harris Bradley Center
,24-03-17,8:00PM,110,NOP,New Orleans,Pelicans,109,HOU,Houston,Rockets,Toyota Center
,24-03-17,10:30PM,100,MIN,Minnesota,Timberwolves,105,LAL,Los Angeles,Lakers,Staples Center
,24-03-17,10:30PM,103,SAC,Sacramento,Kings,101,GSW,Golden State,Warriors,Oracle Arena
,25-03-17,3:30PM,98,UTA,Utah,Jazz,102,LAC,Los Angeles,Clippers,Staples Center
,25-03-17,7:30PM,94,WAS,Washington,Wizards,86,CLE,Cleveland,Cavaliers,Quicken Loans Arena
,25-03-17,8:30PM,81,TOR,Toronto,Raptors,108,DAL,Dallas,Mavericks,American Airlines Center
,25-03-17,8:30PM,83,NYK,New York,Knicks,106,SAS,San Antonio,Spurs,AT&T Center
,25-03-17,10:00PM,100,MIN,Minnesota,Timberwolves,97,POR,Portland,Trail Blazers,Moda Center
,26-03-17,1:00PM,104,PHX,Phoenix,Suns,93,CHA,Charlotte,Hornets,Time Warner Cable Arena
,26-03-17,1:00PM,84,BRO,Brooklyn,Nets,91,ATL,Atlanta,Hawks,Philips Arena
,26-03-17,3:30PM,103,SAC,Sacramento,Kings,102,LAC,Los Angeles,Clippers,Staples Center
,26-03-17,3:30PM,89,CHI,Chicago,Bulls,90,MIL,Milwaukee,Bucks,BMO Harris Bradley Center
,26-03-17,3:30PM,96,OKL,Oklahoma City,Thunder,109,HOU,Houston,Rockets,Toyota Center
,26-03-17,6:00PM,85,PHI,Philadelphia,76ers,87,IND,Indiana,Pacers,Bankers Life Fieldhouse
,26-03-17,6:00PM,92,MIA,Miami,Heat,82,BOS,Boston,Celtics,TD Garden
,26-03-17,8:00PM,107,MEM,Memphis,Grizzlies,101,GSW,Golden State,Warriors,Oracle Arena
,26-03-17,8:00PM,110,NOP,New Orleans,Pelicans,99,DEN,Denver,Nuggets,Pepsi Center
,26-03-17,9:30PM,97,POR,Portland,Trail Blazers,105,LAL,Los Angeles,Lakers,Staples Center
,27-03-17,7:30PM,95,ORL,Orlando,Magic,81,TOR,Toronto,Raptors,Air Canada Centre
,27-03-17,7:30PM,88,DET,Detroit,Pistons,83,NYK,New York,Knicks,Madison Square Garden
,27-03-17,8:00PM,86,CLE,Cleveland,Cavaliers,106,SAS,San Antonio,Spurs,AT&T Center
,27-03-17,8:30PM,96,OKL,Oklahoma City,Thunder,108,DAL,Dallas,Mavericks,American Airlines Center
,27-03-17,10:30PM,107,MEM,Memphis,Grizzlies,103,SAC,Sacramento,Kings,Sleep Train Arena
,27-03-17,10:30PM,110,NOP,New Orleans,Pelicans,98,UTA,Utah,Jazz,Vivint Smart Home Arena
,28-03-17,7:00PM,90,MIL,Milwaukee,Bucks,93,CHA,Charlotte,Hornets,Time Warner Cable Arena
,28-03-17,7:00PM,100,MIN,Minnesota,Timberwolves,87,IND,Indiana,Pacers,Bankers Life Fieldhouse
,28-03-17,7:30PM,85,PHI,Philadelphia,76ers,84,BRO,Brooklyn,Nets,Barclays Center
,28-03-17,7:30PM,104,PHX,Phoenix,Suns,91,ATL,Atlanta,Hawks,Philips Arena
,28-03-17,7:30PM,92,MIA,Miami,Heat,88,DET,Detroit,Pistons,Palace of Auburn Hills
,28-03-17,8:00PM,101,GSW,Golden State,Warriors,109,HOU,Houston,Rockets,Toyota Center
,28-03-17,10:00PM,99,DEN,Denver,Nuggets,97,POR,Portland,Trail Blazers,Moda Center
,28-03-17,10:30PM,94,WAS,Washington,Wizards,105,LAL,Los Angeles,Lakers,Staples Center
,29-03-17,7:00PM,91,ATL,Atlanta,Hawks,85,PHI,Philadelphia,76ers,Wells Fargo Center
,29-03-17,7:00PM,96,OKL,Oklahoma City,Thunder,95,ORL,Orlando,Magic,Amway Center
,29-03-17,7:30PM,90,MIL,Milwaukee,Bucks,82,BOS,Boston,Celtics,TD Garden
